Symbol,Name,Avg Volume,AUM
SPY,SPDR S&P 500 ETF,70263758,280255000
SQQQ,ProShares UltraPro Short QQQ,64506008,1532580
XLF,Financial Select Sector SPDR Fund,55254699,17061100
SLV,iShares Silver Trust,46856992,13385600
QQQ,Invesco QQQ,46365000,130921000
EEM,iShares MSCI Emerging Markets ETF,40574453,24522900
UVXY,ProShares Ultra VIX Short-Term Futures,38760270,1700440
TQQQ,ProShares UltraPro QQQ,35304953,8142320
SPXS,Direxion Daily S&P 500 Bear 3X Shares,34940164,802789
VXX,iPath Series B S&P 500 VIX Short-Term Futures ETN,33508566,1418680
SPXU,ProShares UltraPro Short S&P 500,27386359,961905
HYG,iShares iBoxx $ High Yield Corporate Bond ETF,26225328,24669100
GDX,VanEck Vectors Gold Miners ETF,25720188,15940000
XLE,Energy Select Sector SPDR Fund,25429873,8245540
EWZ,iShares MSCI Brazil ETF,24822252,4727330
IAU,iShares Gold Trust,24720875,31680300
IWM,iShares Russell 2000 ETF,22321729,40357400
EFA,iShares MSCI EAFE ETF,21842781,44707600
FXI,iShares China Large-Cap ETF,18017916,3445710
TZA,Direxion Daily Small Cap Bear 3X Shares,16504174,546764
QID,ProShares UltraShort QQQ,13760517,304940
XLU,Utilities Select Sector SPDR Fund,12694947,11713600
TNA,Direxion Daily Small Cap Bull 3X Shares,12661229,829495
SDS,ProShares UltraShort S&P 500,12593252,1086900
GLD,SPDR Gold Trust,12364736,75623400
XLI,Industrial Select Sector SPDR Fund,11726637,12153100
IEMG,iShares Core MSCI Emerging Markets ETF,11721539,55253100
LQD,iShares iBoxx $ Investment Grade Corporate Bond ETF,11597423,56464200
SH,ProShares Short S&P 500,11209565,3054200
XLK,Technology Select Sector SPDR Fund,10988579,32812800
VWO,Vanguard FTSE Emerging Markets ETF,10942327,61628500
TLT,iShares 20+ Year Treasury Bond ETF,9828076,19795100
VEA,Vanguard FTSE Developed Markets ETF,8978426,72791600
GDXJ,VanEck Vectors Junior Gold Miners ETF,8946264,5836450
KRE,SPDR S&P Regional Banking ETF,8821171,1141400
SDOW,ProShares UltraPro Short Dow30,8775367,582350
SPXL,Direxion Daily S&P 500 Bull 3X Shares,8385975,1310250
